ref	bibcode
allende:2015	2015AAS...22542207A
allende:2018	2018A&A...618A..25A
bessell:2012	2012PASP..124..140B
carvalho:2023	2023RNAAS...7...91C
castelli:2003	2003IAUS..210P.A20C
chiavassa:2018	2018A&A...611A..11C
claret:2000	2000A&A...363.1081C
de-laverny:2012	2012A&A...544A.126D
diaz-cordoves:1992	1992A&A...259..227D
eddington:1926	1926ics..book.....E
gray:2005	2005oasp.book.....G
hubeny:2017	2017arXiv170601859H
husser:2013	2013A&A...553A...6H
kirby:2011	2011PASP..123..531K
lanz:2003	2003ApJS..146..417L
lanz:2007	2007ApJS..169...83L
lianlim:2020	2020zndo...3971036L
milne:1921	1921MNRAS..81..361M
perryman:1997	1997A&A...323L..49P
stefl:2003	2003A&A...411..167S
townsend:1997	1997MNRAS.284..839T
townsend:2003	2003MNRAS.343..125T
wade:1985	1985A&AS...60..471W
zsargo:2020	2020A&A...643A..88Z
